chunk,phrase_type,word_order
voc amod voc acl:relcl advmod amod cop,adverbial_clause,vs
case obl root det obj,prepositional_phrase,pso
case det amod obl advmod advcl nsubj obj xcomp obl amod pobj cc obl advmod amod pobj acl:relcl obj advmod acl cc obj advmod conj advcl ccomp nsubj advmod xcomp cc advcl ccomp nsubj xcomp X X X X X X X,prepositional_phrase,osv
root advmod acomp,adverbial_clause,sp
punct mark nsubj advmod obj advmod xcomp csubj punct advmod advcl det nsubj det obj obl obl neg xcomp punct advmod expl det advcl punct mark nsubj ccomp X,subordinate_clause,sov
cc nsubj mark nsubj acl:relcl mark root neg advmod attr advmod,subordinate_clause,sp
cc advmod advmod root nsubj advmod advmod,adverbial_clause,ps
case det obl xcomp cc advmod xcomp X X X X,prepositional_phrase,sov
mark obj neg det obj cc det conj advmod advcl ref nsubj obj acomp relcl root advmod parataxis nsubj advmod,subordinate_clause,osp
mark obj ccomp case det obl ref advmod acl X X X X X,prepositional_phrase,osv
advmod root nsubj obl,adverbial_clause,pso
case,prepositional_phrase,unknown
nsubj advmod case advmod amod obj root,prepositional_phrase,sop
punct mark nsubj attr nmod advcl punct advcl conj advmod advmod advmod case obl case obl punct advmod mark nsubj advcl,prepositional_phrase,sov
advmod root nsubj advmod advmod advmod case xcomp punct mark nsubj advmod advmod advmod advmod,prepositional_phrase,ps
ccomp,complement_clause,vs
det advmod amod ref det amod nmod cc det amod conj obl det nummod poss pobj obl amod pobj obj root nsubj advmod compound:prt xcomp X,adverbial_clause,ops
mark advcl nsubj amod obj punct advmod advcl case advmod det pobj cc det conj cc det det pobj punct mark det nsubj advmod ccomp punct mark advcl nsubj advmod case advmod obl cc advmod advmod conj punct advmod mark nsubj appos advmod root,prepositional_phrase,sop
advmod root,adverbial_clause,sp
mark nsubj advcl punct nsubj parataxis,subordinate_clause,sv
amod det nsubj cc det conj cc det conj punct ref amod obj advmod root obl pobj,adverbial_clause,sop
cc conj pobj punct obl det obl punct ref obl pobj acl:relcl punct mark advmod obl advcl det nsubj case det obl punct mark advmod det det nsubj advmod obl advcl punct mark nsubj det amod obj xcomp advcl punct obl det det obl punct ref det nsubj acl:relcl X,prepositional_phrase,osv
advmod advmod root iobj det attr nmod det nmod,adverbial_clause,spo
case det amod nmod punct discourse advmod nsubj root punct,prepositional_phrase,sp
mark obj amod nsubj advmod ccomp punct ref advmod acl obj aux,subordinate_clause,sov
acl:relcl X,unknown_chunk,sv
nsubj root,main_clause,sp
punct mark nsubj advcl punct det attr case nmod:poss obl,prepositional_phrase,svo
advmod root nsubj,adverbial_clause,ps
punct nsubj advmod amod obj advmod case acl advmod case xcomp punct cc obj det amod compound nsubj advmod conj punct nsubj conj case det amod obl neg,prepositional_phrase,sov
cc nsubj root advmod obj,adverbial_clause,spo
punct nsubj advmod amod obj acl:relcl obl det advmod amod obl obl det obl,adverbial_clause,sov
nsubj root advmod obj,adverbial_clause,spo
punct mark nsubj advcl advmod advmod cc conj neg,subordinate_clause,sv
mark nsubj advmod advcl punct advcl case amod obl punct aux advmod det nsubj det nmod:poss nmod:poss obj,prepositional_phrase,sov
case det nmod advcl punct advmod advcl nsubj amod nmod nmod:poss obj case det amod nmod punct mark advmod det nsubj det amod appos cc nsubj cop acomp,prepositional_phrase,sov
conj punct advmod det amod appos nsubj advmod root,adverbial_clause,sp
nsubj aux obj obl pobj parataxis acomp punct mark advmod det nsubj advcl root,subordinate_clause,sop
mark nsubj advcl advmod advmod acomp punct advmod nsubj advmod root,subordinate_clause,sp
cc obl punct acl:relcl case det nmod advmod xcomp aux,prepositional_phrase,osv
punct acl:relcl acl advmod advmod advmod case det obl punct obj nsubj case det amod obl root,prepositional_phrase,osp
cc mark advmod det nsubj acomp cc conj advcl punct advmod nsubj advmod ccomp punct advmod mark advmod det nsubj cc conj case det nmod root,prepositional_phrase,sp
punct nsubj case det obl acl:relcl,prepositional_phrase,sov
mark advmod advcl det amod nsubj case amod obl cc conj compound obl det obl cc conj xcomp cc conj obl det obl advmod acomp root X,prepositional_phrase,sop
cc advmod advmod root nsubj acomp nsubj det amod obj,adverbial_clause,pso
acl:relcl advmod nsubj parataxis obj amod X X X,adverbial_clause,sov
voc appos punct amod voc punct case det amod obl root nsubj det obj,prepositional_phrase,ops
case amod obl,prepositional_phrase,unknown
det root punct mark nsubj obl,subordinate_clause,pso
case xcomp acl:relcl,prepositional_phrase,vs
nsubj root advmod det advmod amod attr,adverbial_clause,sp
punct nsubj iobj det amod obj advmod advmod xcomp acl:relcl,adverbial_clause,sov
mark obj root nsubj advmod amod obj,subordinate_clause,ops
punct amod amod vocative punct amod vocative punct mark nsubj obj obl det amod pobj advmod advmod xcomp advcl,subordinate_clause,vso
dep dep dep punct dep dep punct dep dep punct dep dep punct dep dep dep dep dep punct dep root dep,main_clause,p
punct dep dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep dep dep punct dep punct dep punct dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep punct dep dep dep dep dep punct dep dep dep dep punct dep dep dep dep dep dep dep punct dep dep dep punct dep punct dep dep dep dep dep dep dep dep dep dep dep dep dep dep dep dep punct dep dep dep dep dep dep,unknown_chunk,v
det amod nsubj punct advcl nsubj punct voc punct det obj obl pobj cc conj advcl punct mark root attr,subordinate_clause,sop
punct relcl det nsubj det conj cc det conj punct det conj cc det conj advmod obl pobj advmod xcomp aux,adverbial_clause,sov
det amod obj cc conj root nsubj punct voc,noun_phrase,ops
punct det iobj obl pobj xcomp obl det pobj cc conj det pobj,noun_phrase,ovs
mark nsubj advmod amod root,subordinate_clause,sp
punct obj nsubj punct vocative punct det iobj case obl aux parataxis,prepositional_phrase,osv
punct advmod advmod parataxis det nsubj advmod xcomp punct advmod parataxis obj advmod advmod advmod advmod xcomp punct obj nsubj det iobj case det obl xcomp parataxis,prepositional_phrase,sov
cc advmod obl root det amod nsubj obj xcomp,adverbial_clause,ops
case amod obl punct cc det nsubj conj advmod amod attr punct mark case obl aux advmod xcomp,prepositional_phrase,osv
ccomp cc nsubj obj advmod xcomp conj punct cc obj xcomp conj case advmod conj punct cc obj advmod conj,prepositional_phrase,sov
mark nsubj advmod iobj det amod nmod obj cc det amod obj ccomp punct nsubj root obj det amod nsubj,subordinate_clause,sop
root,main_clause,p
advmod obj nsubj case advmod amod obl aux root,prepositional_phrase,osp
punct advmod conj nsubj advmod punct mark nsubj advmod xcomp ccomp punct cc mark nsubj obj ccomp cc obj conj punct obj cc conj punct advmod conj cc advmod obj conj,subordinate_clause,sov
nsubj aux,unknown_chunk,sv
