chunk,phrase_type,word_order
pred root det nsubj,noun_phrase,ps
punct advmod mark nsubj advcl obl,subordinate_clause,svo
punct parataxis X,unknown_chunk,v
obl det amod pobj root nsubj nsubj,noun_phrase,ops
case obl acl,prepositional_phrase,v
punct nsubj advmod acl,adverbial_clause,sv
punct cc obl det amod amod pobj,noun_phrase,v
conj advmod nsubj nsubj advmod acl,adverbial_clause,sv
punct nsubj advmod advmod advmod acl aux,adverbial_clause,sv
advmod root nsubj det obj nmod,adverbial_clause,pso
case nmod cc conj advmod obl det pobj xcomp,prepositional_phrase,v
punct mark advmod advmod amod nsubj,subordinate_clause,vs
case det obl advcl,prepositional_phrase,v
punct cc obl det pobj conj advmod attr,adverbial_clause,v
cc advmod attr advmod mark xcomp punct cc advmod amod nsubj obj case det amod obl conj,prepositional_phrase,sov
punct mark advcl obj obl pobj advmod advmod,subordinate_clause,v
mark xcomp,subordinate_clause,unknown
mark nsubj det advmod case det obl neg xcomp advcl,prepositional_phrase,sov
cc obl,unknown_chunk,v
case cc obl case advmod root nsubj iobj advmod advmod xcomp obl pobj acl det amod obj,prepositional_phrase,ops
relcl cc obl pobj nsubj advmod advmod acl obl det amod pobj acomp,adverbial_clause,osv
ccomp acl amod attr relcl X X X X X X X,noun_phrase,v
nsubj root obj amod,noun_phrase,spo
punct nsubj parataxis advmod obl advmod pobj ref advmod obj,adverbial_clause,so
acl:relcl,unknown_chunk,v
det nsubj root attr det det nmod ref nsubj acl,noun_phrase,sp
cc advmod advmod advmod,adverbial_clause,v
conj aux nsubj obj acl advmod parataxis advmod attr,adverbial_clause,sv
cc advmod attr parataxis det nsubj ref nsubj,adverbial_clause,sv
case obl acl X X X X,prepositional_phrase,v
advmod root advmod amod nsubj poss nsubj advmod advmod,adverbial_clause,ps
ccomp punct obl amod pobj,noun_phrase,v
punct cc,unknown_chunk,v
conj nsubj advmod amod advmod compound:prt xcomp obl pobj,adverbial_clause,svo
punct advcl nsubj advmod advmod ccomp punct,subordinate_clause,sv
cc mark nsubj poss amod obj advcl compound:prt xcomp,subordinate_clause,sov
nsubj root,main_clause,sp
case det amod obl advmod advmod det obj nmod:gen,prepositional_phrase,v
cc root nsubj advmod advmod,adverbial_clause,ps
mark nsubj advmod det amod attr,subordinate_clause,vs
ccomp mark,subordinate_clause,v
mark cop advcl,subordinate_clause,v
mark nsubj advmod xcomp,subordinate_clause,sv
ccomp X X X,complement_clause,v
mark mark advmod root,subordinate_clause,p
punct mark nsubj,subordinate_clause,vs
prep det pobj advcl,prepositional_phrase,v
punct acl:relcl advmod case pobj acl,prepositional_phrase,v
punct punct nsubj,unknown_chunk,vs
ccomp nummod obj case xcomp punct,prepositional_phrase,v
cc nsubj conj,unknown_chunk,sv
case obl det nmod,prepositional_phrase,v
punct mark nsubj obj,subordinate_clause,vso
cc conj conj,unknown_chunk,v
punct cc case nmod:poss obj,prepositional_phrase,v
punct advmod advmod punct mark nsubj det obj obl pobj advmod advcl,subordinate_clause,sov
punct advmod mark advmod mark nsubj aux obj conj case obl,prepositional_phrase,sov
punct cc obj advmod case conj pobj,prepositional_phrase,v
punct cc nsubj,unknown_chunk,s
conj det obj advmod advmod obl pobj xcomp,adverbial_clause,v
det nsubj root poss obj,noun_phrase,spo
mark advcl punct vocative punct det nsubj root,subordinate_clause,sp
punct mark aux parataxis det nsubj,subordinate_clause,vs
punct mark nsubj det nummod obj advmod obl det pobj,subordinate_clause,vso
cc advmod det pobj advcl advmod punct cc advmod nsubj dobj det amod obj obl pobj conj xcomp,subordinate_clause,osv
advmod root det nsubj advmod advmod nummod obj,adverbial_clause,pso
case xcomp,prepositional_phrase,v
punct cc,unknown_chunk,v
conj case obl advmod advmod,prepositional_phrase,v
case det amod obl,prepositional_phrase,unknown
cc nsubj root advmod advmod advmod advmod det amod nmod:gen,adverbial_clause,sp
punct mark nsubj obl,subordinate_clause,vso
case amod advcl,prepositional_phrase,v
advmod root nsubj nmod obl advmod acomp,adverbial_clause,pso
mark det amod obl cc,subordinate_clause,v
conj advmod advmod advmod nummod nummod nmod acomp X,adverbial_clause,v
det nummod nsubj amod root,noun_phrase,sp
case obl punct nsubj,prepositional_phrase,ovs
conj det obj advmod appos,adverbial_clause,v
case mark acl case obl cc conj det obl punct det obj nsubj,prepositional_phrase,ovs
case det obl acl,prepositional_phrase,v
advmod root nsubj det obj,adverbial_clause,pso
punct advmod advcl nsubj advmod,subordinate_clause,vs
punct mark nsubj obj advcl,subordinate_clause,so
punct mark nsubj obj advmod advmod neg advcl,subordinate_clause,sov
cc mark det obl case nummod nmod punct conj advmod punct cc,prepositional_phrase,unknown
mark nsubj punct nsubj obj,subordinate_clause,svo
acl:relcl punct nsubj root advmod acomp,adverbial_clause,sp
punct nsubj,unknown_chunk,vs
case case obl acl:relcl,prepositional_phrase,v
case nmod:poss obl cc case nmod:poss conj,prepositional_phrase,unknown
obl case root nsubj obl det,prepositional_phrase,ops
case obl det case,prepositional_phrase,unknown
det amod nsubj cc amod conj root,noun_phrase,sp
mark advmod,subordinate_clause,v
ccomp punct,complement_clause,v
mark case det amod obl advmod compound:prt xcomp,prepositional_phrase,v
ccomp case det obl,prepositional_phrase,v
cc case det conj punct,prepositional_phrase,v
mark nsubj case obl advcl,prepositional_phrase,sov
nsubj root iobj advmod det obj,adverbial_clause,spo
punct mark amod nsubj advcl,subordinate_clause,vs
root punct vocative mark nsubj advmod xcomp,subordinate_clause,ps
ccomp cc,complement_clause,v
conj punct,unknown_chunk,v
mark ccomp advmod det acomp,subordinate_clause,v
punct mark advmod det nsubj obj aux advcl,subordinate_clause,sov
punct mark nsubj acomp,subordinate_clause,vs
ccomp punct obl det det pobj,noun_phrase,v
cc obl det det pobj punct,noun_phrase,sv
acl:relcl det obj acl punct obl det amod pobj,noun_phrase,v
punct obl det amod pobj,noun_phrase,v
punct obl amod amod pobj,noun_phrase,v
cc obl det det amod pobj punct obl det amod amod pobj,noun_phrase,v
cc obl det amod pobj punct,noun_phrase,v
cc obl det amod pobj punct,noun_phrase,sv
acl:relcl nsubj det obj,noun_phrase,svo
cc det obj acl obl amod pobj,noun_phrase,v
punct cc obl det compound amod pobj,noun_phrase,v
punct acl:relcl det obj acl,noun_phrase,v
punct obl amod pobj,noun_phrase,v
