chunk,phrase_type,word_order
nsubj,unknown_chunk,subject
root nsubj compound compound nmod:poss obj,noun_phrase,pso
cc conj obj cc conj case obl cc case conj compound nmod:poss mark nsubj mark nsubj nmod:poss,prepositional_phrase,os
acl:relcl case nmod compound csubj det obj nmod:poss cc aux conj,prepositional_phrase,verb
xcomp case obl det compound advmod cc det conj aux conj cc advmod conj,prepositional_phrase,verb
xcomp obj compound mark fixed obl det nsubj,subordinate_clause,vos
cc mark fixed conj nsubj amod det compound case nmod nmod:poss cc conj nsubj mark,prepositional_phrase,subject
acl:relcl advmod cc nsubj cop,adverbial_clause,sv
conj cc conj case obl det compound cop conj advmod advmod case det det obl mark,prepositional_phrase,verb
acl:relcl advmod case obl conj nsubj compound,prepositional_phrase,vs
case obl case obl obj compound cc det conj case obl case case nmod cc conj cc nsubj nmod:poss obj mark case,prepositional_phrase,so
acl:relcl,unknown_chunk,verb
xcomp cc det nsubj,noun_phrase,vs
conj,unknown_chunk,unknown
xcomp cc advmod case obl conj mark mark,prepositional_phrase,verb
advcl case obl nsubj cop,prepositional_phrase,sv
ccomp det nsubj,noun_phrase,vs
case nmod nmod:poss obj compound cc mark conj case obl nmod:poss conj case obl cc case obl conj nsubj case obl nmod:poss case obl compound advmod,prepositional_phrase,os
ccomp cc conj cc advmod conj mark,subordinate_clause,verb
advcl obj case nmod advmod case det nmod conj mark mark aux,prepositional_phrase,verb
advcl case obl nmod:poss det nsubj nmod:poss advmod cop,prepositional_phrase,sv
ccomp,complement_clause,verb
xcomp obj nmod:poss cc conj obj cc case det obl mark,prepositional_phrase,verb
acl:relcl case obl compound case nmod nsubj,prepositional_phrase,vs
mark,subordinate_clause,unknown
acl:relcl cc conj nmod:poss cc conj cc advmod punct parataxis flat nmod:poss punct mark nsubj compound nummod compound,subordinate_clause,vs
ccomp case obl cc nsubj,prepositional_phrase,vs
conj case obl mark,prepositional_phrase,unknown
ccomp mark nsubj det compound,subordinate_clause,vs
cc det conj cc conj cop,noun_phrase,verb
ccomp case nmod cc case conj compound,prepositional_phrase,verb
cc,unknown_chunk,unknown
root case case obl det nsubj,prepositional_phrase,ps
mark,subordinate_clause,unknown
acl:relcl compound det compound cc det conj cc conj det obl:unmarked case obl case nmod nsubj nmod:poss,prepositional_phrase,vs
case det nmod nmod:poss compound cc conj,prepositional_phrase,unknown
acl:relcl mark,subordinate_clause,verb
ccomp case det obl compound,prepositional_phrase,verb
