chunk,phrase_type,word_order
nsubj root nsubj compound compound nmod:poss obj,noun_phrase,spo
cc conj obj,unknown_chunk,v
cc conj,unknown_chunk,v
case obl cc case conj compound nmod:poss mark nsubj mark nsubj nmod:poss acl:relcl case nmod compound csubj det obj nmod:poss,prepositional_phrase,os
cc aux,unknown_chunk,v
conj xcomp,infinitive_clause,v
case obl det compound advmod cc det conj aux,prepositional_phrase,v
conj cc advmod,adverbial_clause,v
conj xcomp obj compound,noun_phrase,v
mark fixed obl det nsubj,subordinate_clause,vs
cc mark fixed conj nsubj amod det compound,subordinate_clause,vs
case nmod nmod:poss cc conj nsubj,prepositional_phrase,vs
mark acl:relcl advmod,subordinate_clause,v
cc nsubj cop,unknown_chunk,sv
conj cc,unknown_chunk,v
conj case obl det compound cop,prepositional_phrase,v
conj advmod advmod,adverbial_clause,v
case det det obl mark acl:relcl advmod,prepositional_phrase,v
case obl conj nsubj compound,prepositional_phrase,ovs
case obl,prepositional_phrase,v
case obl obj compound cc det conj case obl case case nmod cc conj,prepositional_phrase,v
cc nsubj nmod:poss obj mark case acl:relcl xcomp,prepositional_phrase,sov
cc det nsubj conj xcomp,noun_phrase,sv
cc advmod case obl conj,prepositional_phrase,v
mark mark advcl,subordinate_clause,v
case obl nsubj cop,prepositional_phrase,osv
ccomp det nsubj,noun_phrase,vs
case nmod nmod:poss obj compound cc mark conj,prepositional_phrase,v
case obl nmod:poss conj,prepositional_phrase,v
case obl cc case obl conj nsubj,prepositional_phrase,ovs
case obl nmod:poss case obl compound advmod ccomp,prepositional_phrase,v
cc conj cc advmod conj mark advcl obj,subordinate_clause,v
case nmod advmod case det nmod conj,prepositional_phrase,v
mark mark aux advcl,subordinate_clause,v
case obl nmod:poss det nsubj nmod:poss advmod cop,prepositional_phrase,osv
ccomp xcomp obj nmod:poss,infinitive_clause,v
cc conj obj,unknown_chunk,v
cc case det obl mark acl:relcl case obl compound case nmod nsubj mark acl:relcl,prepositional_phrase,osv
cc conj nmod:poss cc conj,unknown_chunk,v
cc advmod punct parataxis flat nmod:poss punct mark nsubj compound nummod compound ccomp,subordinate_clause,sv
case obl cc nsubj conj,prepositional_phrase,osv
case obl mark ccomp,prepositional_phrase,v
mark nsubj det compound cc det conj cc conj cop ccomp case nmod cc case conj compound,prepositional_phrase,sv
cc root,main_clause,p
case case obl det nsubj mark acl:relcl compound det compound cc det conj cc conj det,prepositional_phrase,osv
obl:unmarked case obl case nmod nsubj nmod:poss case det nmod nmod:poss compound cc conj acl:relcl,prepositional_phrase,osv
mark ccomp case det obl compound xcomp,prepositional_phrase,v
case obl nmod:poss cc case conj nmod:poss cc case det conj advmod aux,prepositional_phrase,sv
