chunk,phrase_type,word_order
pred,unknown_chunk,unknown
root det nsubj punct advmod,adverbial_clause,ps
mark nsubj,subordinate_clause,subject
advcl obl punct parataxis X,subordinate_clause,verb
obl det amod pobj,noun_phrase,unknown
root nsubj nsubj,main_clause,ps
case obl acl punct nsubj advmod acl punct,prepositional_phrase,sv
cc obl det amod amod pobj conj advmod nsubj nsubj advmod acl punct nsubj advmod advmod advmod acl aux,adverbial_clause,osv
advmod,adverbial_clause,unknown
root nsubj det obj nmod,noun_phrase,pso
case nmod cc conj advmod obl det pobj,prepositional_phrase,unknown
xcomp punct mark advmod advmod amod nsubj,subordinate_clause,vs
case det obl,prepositional_phrase,unknown
advcl punct cc obl det pobj conj advmod attr cc advmod attr advmod mark,subordinate_clause,verb
xcomp punct cc advmod amod nsubj obj,adverbial_clause,vso
case det amod obl conj punct mark,prepositional_phrase,unknown
advcl obj obl pobj advmod advmod mark,subordinate_clause,verb
xcomp,infinitive_clause,verb
mark nsubj det advmod case det obl neg,prepositional_phrase,subject
xcomp,infinitive_clause,verb
advcl cc obl case cc obl case advmod,prepositional_phrase,verb
root nsubj iobj advmod advmod,adverbial_clause,pso
xcomp obl pobj acl det amod obj,noun_phrase,verb
relcl cc obl pobj nsubj advmod advmod acl obl det amod pobj acomp,adverbial_clause,svo
ccomp acl amod attr,noun_phrase,verb
relcl X X X X X X X,unknown_chunk,unknown
nsubj,unknown_chunk,subject
root obj amod punct nsubj parataxis advmod obl advmod pobj ref advmod obj,adverbial_clause,pso
acl:relcl,unknown_chunk,verb
det nsubj,noun_phrase,subject
root attr det det nmod ref nsubj acl,noun_phrase,ps
cc advmod advmod advmod conj aux nsubj obj acl advmod parataxis advmod attr,adverbial_clause,sov
cc advmod attr parataxis det nsubj ref nsubj case obl acl X X X X,prepositional_phrase,sv
advmod,adverbial_clause,unknown
root advmod amod nsubj poss nsubj advmod advmod,adverbial_clause,ps
ccomp punct obl amod pobj punct cc conj nsubj advmod amod advmod compound:prt,adverbial_clause,vos
xcomp obl pobj punct,infinitive_clause,verb
advcl nsubj advmod advmod,subordinate_clause,vs
ccomp punct cc mark nsubj poss amod obj,subordinate_clause,vso
advcl compound:prt,subordinate_clause,verb
xcomp,infinitive_clause,verb
nsubj,unknown_chunk,subject
root case det amod obl advmod advmod det obj nmod:gen,prepositional_phrase,predicate
cc,unknown_chunk,unknown
root nsubj advmod advmod,adverbial_clause,ps
mark nsubj advmod det amod attr,subordinate_clause,subject
ccomp mark mark cop,subordinate_clause,verb
advcl mark nsubj advmod,subordinate_clause,vs
xcomp,infinitive_clause,verb
ccomp X X X,complement_clause,verb
mark mark advmod,subordinate_clause,unknown
root punct mark nsubj,subordinate_clause,ps
prep det pobj,prepositional_phrase,unknown
advcl punct,subordinate_clause,verb
acl:relcl advmod case pobj acl punct punct nsubj,prepositional_phrase,ovs
ccomp nummod obj case,prepositional_phrase,verb
xcomp punct cc nsubj,infinitive_clause,vs
conj case obl det nmod punct mark nsubj obj cc conj conj punct cc case nmod:poss obj punct advmod advmod punct mark nsubj det obj obl pobj advmod,prepositional_phrase,so
advcl punct advmod mark advmod mark nsubj aux obj,subordinate_clause,svo
conj case obl punct cc obj advmod case conj pobj punct cc nsubj conj det obj advmod advmod obl pobj,prepositional_phrase,so
xcomp,infinitive_clause,verb
det nsubj,noun_phrase,subject
root poss obj,main_clause,predicate
mark,subordinate_clause,unknown
advcl punct vocative punct det nsubj,subordinate_clause,vs
root punct mark aux parataxis det nsubj punct,subordinate_clause,ps
mark nsubj det nummod obj advmod obl det pobj cc advmod det pobj,subordinate_clause,so
advcl advmod punct cc advmod nsubj dobj det amod obj obl pobj,subordinate_clause,vso
conj,unknown_chunk,unknown
xcomp,infinitive_clause,verb
advmod,adverbial_clause,unknown
root det nsubj advmod advmod nummod obj,adverbial_clause,pso
case,prepositional_phrase,unknown
xcomp punct cc conj case obl advmod advmod case det amod obl,prepositional_phrase,verb
cc nsubj,unknown_chunk,subject
root advmod advmod advmod advmod det amod nmod:gen punct mark nsubj obl,subordinate_clause,ps
case amod,prepositional_phrase,unknown
advcl,subordinate_clause,verb
advmod,adverbial_clause,unknown
root nsubj nmod obl advmod acomp,adverbial_clause,ps
mark det amod obl cc conj advmod advmod advmod nummod nummod nmod acomp X,subordinate_clause,unknown
det nummod nsubj amod,noun_phrase,subject
root case obl punct nsubj,prepositional_phrase,ps
conj det obj advmod appos case mark acl case obl cc conj det obl punct det obj nsubj,prepositional_phrase,vos
case det obl acl,prepositional_phrase,verb
advmod,adverbial_clause,unknown
root nsubj det obj punct advmod,adverbial_clause,pso
advcl nsubj advmod punct,subordinate_clause,vs
mark nsubj obj,subordinate_clause,so
advcl punct mark nsubj obj advmod advmod neg,subordinate_clause,vso
advcl cc mark det obl case nummod nmod punct conj advmod punct cc,prepositional_phrase,verb
mark nsubj punct nsubj obj,subordinate_clause,so
acl:relcl punct nsubj,unknown_chunk,vs
root advmod acomp punct nsubj,adverbial_clause,ps
case case obl,prepositional_phrase,unknown
acl:relcl case nmod:poss obl cc case nmod:poss conj,prepositional_phrase,verb
obl case,prepositional_phrase,unknown
root nsubj obl det,noun_phrase,ps
case obl det case,prepositional_phrase,unknown
det amod nsubj cc amod conj,noun_phrase,subject
root mark advmod,subordinate_clause,predicate
ccomp punct mark case det amod obl advmod compound:prt,prepositional_phrase,verb
xcomp,infinitive_clause,verb
ccomp case det obl cc case det conj punct mark nsubj,prepositional_phrase,vs
case obl,prepositional_phrase,unknown
advcl,subordinate_clause,verb
nsubj,unknown_chunk,subject
root iobj advmod det obj punct mark amod nsubj,subordinate_clause,pos
advcl,subordinate_clause,verb
root punct vocative mark nsubj advmod,subordinate_clause,ps
xcomp,infinitive_clause,verb
ccomp cc conj punct mark,subordinate_clause,verb
ccomp advmod det acomp punct mark advmod det nsubj obj aux,subordinate_clause,sov
advcl punct mark nsubj acomp,subordinate_clause,vs
ccomp punct obl det det pobj cc obl det det pobj punct,noun_phrase,verb
acl:relcl det obj acl punct obl det amod pobj punct obl det amod pobj punct obl amod amod pobj cc obl det det amod pobj punct obl det amod amod pobj cc obl det amod pobj punct cc obl det amod pobj punct,noun_phrase,verb
acl:relcl nsubj det obj,noun_phrase,vso
cc det obj acl obl amod pobj punct cc obl det compound amod pobj punct,noun_phrase,verb
acl:relcl det obj acl punct obl amod pobj cc obl pobj punct cc obl det compound amod pobj punct cc obl det det pobj punct,noun_phrase,verb
acl:relcl det obj acl,noun_phrase,verb
advmod amod cc conj amod det iobj advmod obl pobj,adverbial_clause,unknown
xcomp,infinitive_clause,verb
root advmod amod conj advmod nsubj advmod obl pobj,adverbial_clause,pso
xcomp obl det amod pobj nsubj advmod obl pobj acl,adverbial_clause,sov
